"Q1"	"Q1o1"	"Q1o2"	"Q1o3"	"Q1corr_ans"	"Q2"	"Q2o1"	"Q2o2"	"Q2o3"	"Q2corr_ans"	"Q3"	"Q3o1"	"Q3o2"	"Q3o3"	"Q3corr_ans"
"After the marathon the three friends decide to compete with only each other, who is most likely to win?"	"A.Dustin"	"B.Ralph"	"C.There is not enough information"	"B.Ralph"	"The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?"	"A.The wildlife charity"	"B.The cancer charity"	"C.There is not enough information"	"C.There is not enough information"	"The Dunwich draws crowds from all over the___"	"A.County"	"B.Town"	"C.There is not enough information"	"A.County"
"The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?"	"A.The wildlife charity"	"B.The cancer charity"	"C.There is not enough information"	"C.There is not enough information"	"After the marathon the three friends decide to compete with only each other, who is most likely to win?"	"A.Dustin"	"B.Ralph"	"C.There is not enough information"	"C.There is not enough information"	"The Dunwich draws crowds from all over the___"	"A.County"	"B.Town"	"C.There is not enough information"	"A.County"
"The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?"	"A.The wildlife charity"	"B.The cancer charity"	"C.There is not enough information"	"A.The wildlife charity"	"After the marathon the three friends decide to compete with only each other, who is most likely to win?"	"A.Dustin"	"B.Ralph"	"C.There is not enough information"	"B.Ralph"	"The Dunwich draws crowds from all over the___"	"A.County"	"B.Town"	"C.There is not enough information"	"A.County"
"The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?"	"A.The wildlife charity"	"B.The cancer charity"	"C.There is not enough information"	"C.There is not enough information"	"After the marathon the three friends decide to compete with only each other, who is most likely to win?"	"A.Dustin"	"B.Ralph"	"C.There is not enough information"	"B.Ralph"	"The Dunwich draws crowds from all over the___"	"A.County"	"B.Town"	"C.There is not enough information"	"A.County"
"The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?"	"A.The wildlife charity"	"B.The cancer charity"	"C.There is not enough information"	"A.The wildlife charity"	"After the marathon the three friends decide to compete with only each other, who is most likely to win?"	"A.Dustin"	"B.Ralph"	"C.There is not enough information"	"C.There is not enough information"	"The Dunwich draws crowds from all over the___"	"A.County"	"B.Town"	"C.There is not enough information"	"A.County"
"Jonathan, Catherine and Thom are the first to arrive at the exclusive lodge this season, who is the least wealthy out of all of them?"	"A.Catherine"	"B.Thom"	"C.There is not enough information"	"C.There is not enough information"	"The Lodge is urgently looking for the missing child. A local police man is at the lodge and decides to look for the child himself which way should he head?"	"A.Up"	"B.Down"	"C.There is not enough information"	"C.There is not enough information"	"The Ski resort caters to"	"A.Wealthy people"	"B.People on a budget"	"C.There is not enough information"	"A.Wealthy people"
"Jonathan, Catherine and Thom are the first to arrive at the exclusive lodge this season, who is the least wealthy out of all of them?"	"A.Catherine"	"B.Thom"	"C.There is not enough information"	"B.Thom"	"The Lodge is urgently looking for the missing child. A local police man is at the lodge and decides to look for the child himself which way should he head?"	"A.Up"	"B.Down"	"C.There is not enough information"	"A.Up"	"The Ski resort caters to"	"A.Wealthy people"	"B.People on a budget"	"C.There is not enough information"	"A.Wealthy people"
"Jonathan, Catherine and Thom are the first to arrive at the exclusive lodge this season, who is the least wealthy out of all of them?"	"A.Catherine"	"B.Thom"	"C.There is not enough information"	"C.There is not enough information"	"The Lodge is urgently looking for the missing child. A local police man is at the lodge and decides to look for the child himself which way should he head?"	"A.Up"	"B.Down"	"C.There is not enough information"	"A.Up"	"The Ski resort caters to"	"A.Wealthy people"	"B.People on a budget"	"C.There is not enough information"	"A.Wealthy people"
"Jonathan, Catherine and Thom are the first to arrive at the exclusive lodge this season, who is the least wealthy out of all of them?"	"A.Catherine"	"B.Thom"	"C.There is not enough information"	"B.Thom"	"The Lodge is urgently looking for the missing child. A local police man is at the lodge and decides to look for the child himself which way should he head?"	"A.Up"	"B.Down"	"C.There is not enough information"	"C.There is not enough information"	"The Ski resort caters to"	"A.Wealthy people"	"B.People on a budget"	"C.There is not enough information"	"A.Wealthy people"
"The Lodge is urgently looking for the missing child. A local police man is at the lodge and decides to look for the child himself which way should he head?"	"A.Up"	"B.Down"	"C.There is not enough information"	"C.There is not enough information"	"Jonathan, Catherine and Thom are the first to arrive at the exclusive lodge this season, who is the least wealthy out of all of them?"	"A.Catherine"	"B.Thom"	"C.There is not enough information"	"C.There is not enough information"	"The Ski resort caters to"	"A.Wealthy people"	"B.People on a budget"	"C.There is not enough information"	"A.Wealthy people"
"The Lodge is urgently looking for the missing child. A local police man is at the lodge and decides to look for the child himself which way should he head?"	"A.Up"	"B.Down"	"C.There is not enough information"	"A.Up"	"Jonathan, Catherine and Thom are the first to arrive at the exclusive lodge this season, who is the least wealthy out of all of them?"	"A.Catherine"	"B.Thom"	"C.There is not enough information"	"B.Thom"	"The Ski resort caters to"	"A.Wealthy people"	"B.People on a budget"	"C.There is not enough information"	"A.Wealthy people"
"The Lodge is urgently looking for the missing child. A local police man is at the lodge and decides to look for the child himself which way should he head?"	"A.Up"	"B.Down"	"C.There is not enough information"	"C.There is not enough information"	"Jonathan, Catherine and Thom are the first to arrive at the exclusive lodge this season, who is the least wealthy out of all of them?"	"A.Catherine"	"B.Thom"	"C.There is not enough information"	"B.Thom"	"The Ski resort caters to"	"A.Wealthy people"	"B.People on a budget"	"C.There is not enough information"	"A.Wealthy people"
"The Lodge is urgently looking for the missing child. A local police man is at the lodge and decides to look for the child himself which way should he head?"	"A.Up"	"B.Down"	"C.There is not enough information"	"A.Up"	"Jonathan, Catherine and Thom are the first to arrive at the exclusive lodge this season, who is the least wealthy out of all of them?"	"A.Catherine"	"B.Thom"	"C.There is not enough information"	"C.There is not enough information"	"The Ski resort caters to"	"A.Wealthy people"	"B.People on a budget"	"C.There is not enough information"	"A.Wealthy people"
"The council is giving away a prize for the finest garden in the county, Agatha Sam and Rachel have all entered their gardens into the competition.  Who  is most likely to win?"	"A.Agatha"	"B.Rachel"	"C.There is not enough information"	"C.There is not enough information"	"Sam wants to get rid of the plastic plants. She is standing infront of the succulents and indoor plants in which direction should she look to find the plastic plants?"	"A.Right"	"B.Left"	"C.There is not enough information"	"C.There is not enough information"	"The Flower Shop is located on"	"A. Wensley High Street"	"B. Toucan Drive"	"C.There is not enough information"	"A. Wensley High Street"
"The council is giving away a prize for the finest garden in the county, Agatha Sam and Rachel have all entered their gardens into the competition.  Who  is most likely to win?"	"A.Agatha"	"B.Rachel"	"C.There is not enough information"	"A.Agatha"	"Sam wants to get rid of the plastic plants. She is standing infront of the succulents and indoor plants in which direction should she look to find the plastic plants?"	"A.Right"	"B.Left"	"C.There is not enough information"	"B.Left"	"The Flower Shop is located on"	"A. Wensley High Street"	"B. Toucan Drive"	"C.There is not enough information"	"A. Wensley High Street"
"The council is giving away a prize for the finest garden in the county, Agatha Sam and Rachel have all entered their gardens into the competition.  Who  is most likely to win?"	"A.Agatha"	"B.Rachel"	"C.There is not enough information"	"C.There is not enough information"	"Sam wants to get rid of the plastic plants. She is standing infront of the succulents and indoor plants in which direction should she look to find the plastic plants?"	"A.Right"	"B.Left"	"C.There is not enough information"	"B.Left"	"The Flower Shop is located on"	"A. Wensley High Street"	"B. Toucan Drive"	"C.There is not enough information"	"A. Wensley High Street"
"The council is giving away a prize for the finest garden in the county, Agatha Sam and Rachel have all entered their gardens into the competition.  Who  is most likely to win?"	"A.Agatha"	"B.Rachel"	"C.There is not enough information"	"A.Agatha"	"Sam wants to get rid of the plastic plants. She is standing infront of the succulents and indoor plants in which direction should she look to find the plastic plants?"	"A.Right"	"B.Left"	"C.There is not enough information"	"C.There is not enough information"	"The Flower Shop is located on"	"A. Wensley High Street"	"B. Toucan Drive"	"C.There is not enough information"	"A. Wensley High Street"
"Sam wants to get rid of the plastic plants. She is standing infront of the succulents and indoor plants in which direction should she look to find the plastic plants?"	"A.Right"	"B.Left"	"C.There is not enough information"	"C.There is not enough information"	"The council is giving away a prize for the finest garden in the county, Agatha Sam and Rachel have all entered their gardens into the competition.  Who  is most likely to win?"	"A.Agatha"	"B.Rachel"	"C.There is not enough information"	"C.There is not enough information"	"The Flower Shop is located on"	"A. Wensley High Street"	"B. Toucan Drive"	"C.There is not enough information"	"A. Wensley High Street"
"Sam wants to get rid of the plastic plants. She is standing infront of the succulents and indoor plants in which direction should she look to find the plastic plants?"	"A.Right"	"B.Left"	"C.There is not enough information"	"B.Left"	"The council is giving away a prize for the finest garden in the county, Agatha Sam and Rachel have all entered their gardens into the competition.  Who  is most likely to win?"	"A.Agatha"	"B.Rachel"	"C.There is not enough information"	"A.Agatha"	"The Flower Shop is located on"	"A. Wensley High Street"	"B. Toucan Drive"	"C.There is not enough information"	"A. Wensley High Street"
"Sam wants to get rid of the plastic plants. She is standing infront of the succulents and indoor plants in which direction should she look to find the plastic plants?"	"A.Right"	"B.Left"	"C.There is not enough information"	"C.There is not enough information"	"The council is giving away a prize for the finest garden in the county, Agatha Sam and Rachel have all entered their gardens into the competition.  Who  is most likely to win?"	"A.Agatha"	"B.Rachel"	"C.There is not enough information"	"A.Agatha"	"The Flower Shop is located on"	"A. Wensley High Street"	"B. Toucan Drive"	"C.There is not enough information"	"A. Wensley High Street"
"Sam wants to get rid of the plastic plants. She is standing infront of the succulents and indoor plants in which direction should she look to find the plastic plants?"	"A.Right"	"B.Left"	"C.There is not enough information"	"B.Left"	"The council is giving away a prize for the finest garden in the county, Agatha Sam and Rachel have all entered their gardens into the competition.  Who  is most likely to win?"	"A.Agatha"	"B.Rachel"	"C.There is not enough information"	"C.There is not enough information"	"The Flower Shop is located on"	"A. Wensley High Street"	"B. Toucan Drive"	"C.There is not enough information"	"A. Wensley High Street"
"Ian is new in the village and his family wants him to make friends with respected families. Out of the three friends who is Ian least likely to pick?"	"A.Sally"	"B.Joanna"	"C.There is not enough information"	"C.There is not enough information"	"A holiday maker has lost his watch by the stream, he is standing by of the monument to with his back towards the lodges. Which way should he go to try and find his watch ?"	"A. Ahead"	"B.Back"	"C.There is not enough information"	"C.There is not enough information"	"The Monument behind the summer lodges is to commemorate"	"A. The soldiers that fought in the First World War"	"B. A dog that saved its owners life"	"C.There is not enough information"	"B. A dog that saved its owners life"
"Ian is new in the village and his family wants him to make friends with respected families. Out of the three friends who is Ian least likely to pick?"	"A.Sally"	"B.Joanna"	"C.There is not enough information"	"B.Joanna"	"A holiday maker has lost his watch by the stream, he is standing by of the monument to with his back towards the lodges. Which way should he go to try and find his watch ?"	"A. Ahead"	"B.Back"	"C.There is not enough information"	"B. Back"	"The Monument behind the summer lodges is to commemorate"	"A. The soldiers that fought in the First World War"	"B. A dog that saved its owners life"	"C.There is not enough information"	"B. A dog that saved its owners life"
"Ian is new in the village and his family wants him to make friends with respected families. Out of the three friends who is Ian least likely to pick?"	"A.Sally"	"B.Joanna"	"C.There is not enough information"	"C.There is not enough information"	"A holiday maker has lost his watch by the stream, he is standing by of the monument to with his back towards the lodges. Which way should he go to try and find his watch ?"	"A. Ahead"	"B.Back"	"C.There is not enough information"	"B. Back"	"The Monument behind the summer lodges is to commemorate"	"A. The soldiers that fought in the First World War"	"B. A dog that saved its owners life"	"C.There is not enough information"	"B. A dog that saved its owners life"
"Ian is new in the village and his family wants him to make friends with respected families. Out of the three friends who is Ian least likely to pick?"	"A.Sally"	"B.Joanna"	"C.There is not enough information"	"B.Joanna"	"A holiday maker has lost his watch by the stream, he is standing by of the monument to with his back towards the lodges. Which way should he go to try and find his watch ?"	"A. Ahead"	"B.Back"	"C.There is not enough information"	"C.There is not enough information"	"The Monument behind the summer lodges is to commemorate"	"A. The soldiers that fought in the First World War"	"B. A dog that saved its owners life"	"C.There is not enough information"	"B. A dog that saved its owners life"
"A holiday maker has lost his watch by the stream, he is standing by of the monument to with his back towards the lodges. Which way should he go to try and find his watch ?"	"A. Ahead"	"B.Back"	"C.There is not enough information"	"C.There is not enough information"	"Ian is new in the village and his family wants him to make friends with respected families. Out of the three friends who is Ian least likely to pick?"	"A.Sally"	"B.Joanna"	"C.There is not enough information"	"C.There is not enough information"	"The Monument behind the summer lodges is to commemorate"	"A. The soldiers that fought in the First World War"	"B. A dog that saved its owners life"	"C.There is not enough information"	"B. A dog that saved its owners life"
"A holiday maker has lost his watch by the stream, he is standing by of the monument to with his back towards the lodges. Which way should he go to try and find his watch ?"	"A. Ahead"	"B.Back"	"C.There is not enough information"	"B. Back"	"Ian is new in the village and his family wants him to make friends with respected families. Out of the three friends who is Ian least likely to pick?"	"A.Sally"	"B.Joanna"	"C.There is not enough information"	"B.Joanna"	"The Monument behind the summer lodges is to commemorate"	"A. The soldiers that fought in the First World War"	"B. A dog that saved its owners life"	"C.There is not enough information"	"B. A dog that saved its owners life"
"A holiday maker has lost his watch by the stream, he is standing by of the monument to with his back towards the lodges. Which way should he go to try and find his watch ?"	"A. Ahead"	"B.Back"	"C.There is not enough information"	"C.There is not enough information"	"Ian is new in the village and his family wants him to make friends with respected families. Out of the three friends who is Ian least likely to pick?"	"A.Sally"	"B.Joanna"	"C.There is not enough information"	"B.Joanna"	"The Monument behind the summer lodges is to commemorate"	"A. The soldiers that fought in the First World War"	"B. A dog that saved its owners life"	"C.There is not enough information"	"B. A dog that saved its owners life"
"A holiday maker has lost his watch by the stream, he is standing by of the monument to with his back towards the lodges. Which way should he go to try and find his watch ?"	"A. Ahead"	"B.Back"	"C.There is not enough information"	"B. Back"	"Ian is new in the village and his family wants him to make friends with respected families. Out of the three friends who is Ian least likely to pick?"	"A.Sally"	"B.Joanna"	"C.There is not enough information"	"C.There is not enough information"	"The Monument behind the summer lodges is to commemorate"	"A. The soldiers that fought in the First World War"	"B. A dog that saved its owners life"	"C.There is not enough information"	"B. A dog that saved its owners life"
"Next year Taunton airfield will host a small air show, who is the most skilled pilot?"	"A.Josh"	"B.Terry"	"C.There is not enough information"	"C.There is not enough information"	"The helicopter pilot wants to know if he is flying higher than the biplane. Which aircraft is higher?"	"A.The Helicopter"	"B.The Biplane"	"C.There is not enough information"	"C.There is not enough information"	"Torton airfield is"	"A.Empty"	"B.Busy"	"C.There is not enough information"	"B.Busy"
"Next year Taunton airfield will host a small air show, who is the most skilled pilot?"	"A.Josh"	"B.Terry"	"C.There is not enough information"	"A.Josh"	"The helicopter pilot wants to know if he is flying higher than the biplane. Which aircraft is higher?"	"A.The Helicopter"	"B.The Biplane"	"C.There is not enough information"	"A.The Helicopter"	"Torton airfield is"	"A.Empty"	"B.Busy"	"C.There is not enough information"	"B.Busy"
"Next year Taunton airfield will host a small air show, who is the most skilled pilot?"	"A.Josh"	"B.Terry"	"C.There is not enough information"	"C.There is not enough information"	"The helicopter pilot wants to know if he is flying higher than the biplane. Which aircraft is higher?"	"A.The Helicopter"	"B.The Biplane"	"C.There is not enough information"	"A.The Helicopter"	"Torton airfield is"	"A.Empty"	"B.Busy"	"C.There is not enough information"	"B.Busy"
"Next year Taunton airfield will host a small air show, who is the most skilled pilot?"	"A.Josh"	"B.Terry"	"C.There is not enough information"	"A.Josh"	"The helicopter pilot wants to know if he is flying higher than the biplane. Which aircraft is higher?"	"A.The Helicopter"	"B.The Biplane"	"C.There is not enough information"	"C.There is not enough information"	"Torton airfield is"	"A.Empty"	"B.Busy"	"C.There is not enough information"	"B.Busy"
"The helicopter pilot wants to know if he is flying higher than the biplane. Which aircraft is higher?"	"A.The Helicopter"	"B.The Biplane"	"C.There is not enough information"	"C.There is not enough information"	"Next year Taunton airfield will host a small air show, who is the most skilled pilot?"	"A.Josh"	"B.Terry"	"C.There is not enough information"	"C.There is not enough information"	"Torton airfield is"	"A.Empty"	"B.Busy"	"C.There is not enough information"	"B.Busy"
"The helicopter pilot wants to know if he is flying higher than the biplane. Which aircraft is higher?"	"A.The Helicopter"	"B.The Biplane"	"C.There is not enough information"	"A.The Helicopter"	"Next year Taunton airfield will host a small air show, who is the most skilled pilot?"	"A.Josh"	"B.Terry"	"C.There is not enough information"	"A.Josh"	"Torton airfield is"	"A.Empty"	"B.Busy"	"C.There is not enough information"	"B.Busy"
"The helicopter pilot wants to know if he is flying higher than the biplane. Which aircraft is higher?"	"A.The Helicopter"	"B.The Biplane"	"C.There is not enough information"	"C.There is not enough information"	"Next year Taunton airfield will host a small air show, who is the most skilled pilot?"	"A.Josh"	"B.Terry"	"C.There is not enough information"	"A.Josh"	"Torton airfield is"	"A.Empty"	"B.Busy"	"C.There is not enough information"	"B.Busy"
"The helicopter pilot wants to know if he is flying higher than the biplane. Which aircraft is higher?"	"A.The Helicopter"	"B.The Biplane"	"C.There is not enough information"	"A.The Helicopter"	"Next year Taunton airfield will host a small air show, who is the most skilled pilot?"	"A.Josh"	"B.Terry"	"C.There is not enough information"	"C.There is not enough information"	"Torton airfield is"	"A.Empty"	"B.Busy"	"C.There is not enough information"	"B.Busy"
"The office has decided who should handle the Barbeque, who is least likely to help the person cooking?"	"A.Ella"	"B.Felix"	"C.There is not enough information"	"C.There is not enough information"	"The delivery man has come to the office with a large package containing the new fan, he is standing infront of the managers desk facing it but the manager has gone out for lunch. Where should he put the fan so that it is already where the manager wants it to be when she comes back?"	"A.To the Left"	"B.To the right"	"C.There is not enough information"	"C.There is not enough information"	"The office is very___"	"A.Hot"	"B.Cold"	"C.There is not enough information"	"A.Hot"
"The office has decided who should handle the Barbeque, who is least likely to help the person cooking?"	"A.Ella"	"B.Felix"	"C.There is not enough information"	"A.Ella"	"The delivery man has come to the office with a large package containing the new fan, he is standing infront of the managers desk facing it but the manager has gone out for lunch. Where should he put the fan so that it is already where the manager wants it to be when she comes back?"	"A.To the Left"	"B.To the right"	"C.There is not enough information"	"A.To the Left"	"The office is very___"	"A.Hot"	"B.Cold"	"C.There is not enough information"	"A.Hot"
"The office has decided who should handle the Barbeque, who is least likely to help the person cooking?"	"A.Ella"	"B.Felix"	"C.There is not enough information"	"C.There is not enough information"	"The delivery man has come to the office with a large package containing the new fan, he is standing infront of the managers desk facing it but the manager has gone out for lunch. Where should he put the fan so that it is already where the manager wants it to be when she comes back?"	"A.To the Left"	"B.To the right"	"C.There is not enough information"	"A.To the Left"	"The office is very___"	"A.Hot"	"B.Cold"	"C.There is not enough information"	"A.Hot"
"The office has decided who should handle the Barbeque, who is least likely to help the person cooking?"	"A.Ella"	"B.Felix"	"C.There is not enough information"	"A.Ella"	"The delivery man has come to the office with a large package containing the new fan, he is standing infront of the managers desk facing it but the manager has gone out for lunch. Where should he put the fan so that it is already where the manager wants it to be when she comes back?"	"A.To the Left"	"B.To the right"	"C.There is not enough information"	"C.There is not enough information"	"The office is very___"	"A.Hot"	"B.Cold"	"C.There is not enough information"	"A.Hot"
"The delivery man has come to the office with a large package containing the new fan, he is standing infront of the managers desk facing it but the manager has gone out for lunch. Where should he put the fan so that it is already where the manager wants it to be when she comes back?"	"A.To the Left"	"B.To the right"	"C.There is not enough information"	"C.There is not enough information"	"The office has decided who should handle the Barbeque, who is least likely to help the person cooking?"	"A.Ella"	"B.Felix"	"C.There is not enough information"	"C.There is not enough information"	"The office is very___"	"A.Hot"	"B.Cold"	"C.There is not enough information"	"A.Hot"
"The delivery man has come to the office with a large package containing the new fan, he is standing infront of the managers desk facing it but the manager has gone out for lunch. Where should he put the fan so that it is already where the manager wants it to be when she comes back?"	"A.To the Left"	"B.To the right"	"C.There is not enough information"	"A.To the Left"	"The office has decided who should handle the Barbeque, who is least likely to help the person cooking?"	"A.Ella"	"B.Felix"	"C.There is not enough information"	"A.Ella"	"The office is very___"	"A.Hot"	"B.Cold"	"C.There is not enough information"	"A.Hot"
"The delivery man has come to the office with a large package containing the new fan, he is standing infront of the managers desk facing it but the manager has gone out for lunch. Where should he put the fan so that it is already where the manager wants it to be when she comes back?"	"A.To the Left"	"B.To the right"	"C.There is not enough information"	"C.There is not enough information"	"The office has decided who should handle the Barbeque, who is least likely to help the person cooking?"	"A.Ella"	"B.Felix"	"C.There is not enough information"	"A.Ella"	"The office is very___"	"A.Hot"	"B.Cold"	"C.There is not enough information"	"A.Hot"
"The delivery man has come to the office with a large package containing the new fan, he is standing infront of the managers desk facing it but the manager has gone out for lunch. Where should he put the fan so that it is already where the manager wants it to be when she comes back?"	"A.To the Left"	"B.To the right"	"C.There is not enough information"	"A.To the Left"	"The office has decided who should handle the Barbeque, who is least likely to help the person cooking?"	"A.Ella"	"B.Felix"	"C.There is not enough information"	"C.There is not enough information"	"The office is very___"	"A.Hot"	"B.Cold"	"C.There is not enough information"	"A.Hot"
"One of Daren’s former clients is having trouble with a recent job that Daren handled. He wants it fixed right away. Who should Daren send so that the best metal workers remain in the workshop to handle the 3 custom Jobs?"	"A.Toby"	"B. Steve"	"C.There is not enough information"	"C.There is not enough information"	"Daren has decided to set up a humane trap for the mouse where should he put it?"	"A.Behind the lathe"	"B.In front of the lathe"	"C.There is not enough information"	"C.There is not enough information"	"What is the name of the street where Darren's workshop is located?"	"A.Yew Street"	"B.Guatemala Street"	"C.There is not enough information"	"A.Yew Street"
"One of Daren’s former clients is having trouble with a recent job that Daren handled. He wants it fixed right away. Who should Daren send so that the best metal workers remain in the workshop to handle the 3 custom Jobs?"	"A.Toby"	"B. Steve"	"C.There is not enough information"	"B. Steve"	"Daren has decided to set up a humane trap for the mouse where should he put it?"	"A.Behind the lathe"	"B.In front of the lathe"	"C.There is not enough information"	"B.In front of the lathe."	"What is the name of the street where Darren's workshop is located?"	"A.Yew Street"	"B.Guatemala Street"	"C.There is not enough information"	"A.Yew Street"
"One of Daren’s former clients is having trouble with a recent job that Daren handled. He wants it fixed right away. Who should Daren send so that the best metal workers remain in the workshop to handle the 3 custom Jobs?"	"A.Toby"	"B. Steve"	"C.There is not enough information"	"C.There is not enough information"	"Daren has decided to set up a humane trap for the mouse where should he put it?"	"A.Behind the lathe"	"B.In front of the lathe"	"C.There is not enough information"	"B.In front of the lathe."	"What is the name of the street where Darren's workshop is located?"	"A.Yew Street"	"B.Guatemala Street"	"C.There is not enough information"	"A.Yew Street"
"One of Daren’s former clients is having trouble with a recent job that Daren handled. He wants it fixed right away. Who should Daren send so that the best metal workers remain in the workshop to handle the 3 custom Jobs?"	"A.Toby"	"B. Steve"	"C.There is not enough information"	"B. Steve"	"Daren has decided to set up a humane trap for the mouse where should he put it?"	"A.Behind the lathe"	"B.In front of the lathe"	"C.There is not enough information"	"C.There is not enough information"	"What is the name of the street where Darren's workshop is located?"	"A.Yew Street"	"B.Guatemala Street"	"C.There is not enough information"	"A.Yew Street"
"Daren has decided to set up a humane trap for the mouse where should he put it?"	"A.Behind the lathe"	"B.In front of the lathe"	"C.There is not enough information"	"C.There is not enough information"	"One of Daren’s former clients is having trouble with a recent job that Daren handled. He wants it fixed right away. Who should Daren send so that the best metal workers remain in the workshop to handle the 3 custom Jobs?"	"A.Toby"	"B. Steve"	"C.There is not enough information"	"C.There is not enough information"	"What is the name of the street where Darren's workshop is located?"	"A.Yew Street"	"B.Guatemala Street"	"C.There is not enough information"	"A.Yew Street"
"Daren has decided to set up a humane trap for the mouse where should he put it?"	"A.Behind the lathe"	"B.In front of the lathe"	"C.There is not enough information"	"B.In front of the lathe."	"One of Daren’s former clients is having trouble with a recent job that Daren handled. He wants it fixed right away. Who should Daren send so that the best metal workers remain in the workshop to handle the 3 custom Jobs?"	"A.Toby"	"B. Steve"	"C.There is not enough information"	"B. Steve"	"What is the name of the street where Darren's workshop is located?"	"A.Yew Street"	"B.Guatemala Street"	"C.There is not enough information"	"A.Yew Street"
"Daren has decided to set up a humane trap for the mouse where should he put it?"	"A.Behind the lathe"	"B.In front of the lathe"	"C.There is not enough information"	"C.There is not enough information"	"One of Daren’s former clients is having trouble with a recent job that Daren handled. He wants it fixed right away. Who should Daren send so that the best metal workers remain in the workshop to handle the 3 custom Jobs?"	"A.Toby"	"B. Steve"	"C.There is not enough information"	"B. Steve"	"What is the name of the street where Darren's workshop is located?"	"A.Yew Street"	"B.Guatemala Street"	"C.There is not enough information"	"A.Yew Street"
"Daren has decided to set up a humane trap for the mouse where should he put it?"	"A.Behind the lathe"	"B.In front of the lathe"	"C.There is not enough information"	"B.In front of the lathe."	"One of Daren’s former clients is having trouble with a recent job that Daren handled. He wants it fixed right away. Who should Daren send so that the best metal workers remain in the workshop to handle the 3 custom Jobs?"	"A.Toby"	"B. Steve"	"C.There is not enough information"	"C.There is not enough information"	"What is the name of the street where Darren's workshop is located?"	"A.Yew Street"	"B.Guatemala Street"	"C.There is not enough information"	"A.Yew Street"
"A tax investigation is launched that will assess work place bonuses. Who has received the biggest bonus out of Lucy and Linda?"	"A.Lucy"	"B.Linda"	"C.There is not enough information"	"C.There is not enough information"	"The Foreman has decided to open up a new shaft. The Crew has assembled in the storage area in Shaft B. In which direction should they go to start the new mineshaft?"	"A.Up"	"B.Down"	"C.There is not enough information"	"C.There is not enough information"	"The mine produces___"	"A.Iron"	"B.Copper"	"C.There is not enough information"	"B.Copper"
"A tax investigation is launched that will assess work place bonuses. Who has received the biggest bonus out of Lucy and Linda?"	"A.Lucy"	"B.Linda"	"C.There is not enough information"	"B.Linda"	"The Foreman has decided to open up a new shaft. The Crew has assembled in the storage area in Shaft B. In which direction should they go to start the new mineshaft?"	"A.Up"	"B.Down"	"C.There is not enough information"	"B.Down"	"The mine produces___"	"A.Iron"	"B.Copper"	"C.There is not enough information"	"B.Copper"
"A tax investigation is launched that will assess work place bonuses. Who has received the biggest bonus out of Lucy and Linda?"	"A.Lucy"	"B.Linda"	"C.There is not enough information"	"C.There is not enough information"	"The Foreman has decided to open up a new shaft. The Crew has assembled in the storage area in Shaft B. In which direction should they go to start the new mineshaft?"	"A.Up"	"B.Down"	"C.There is not enough information"	"B.Down"	"The mine produces___"	"A.Iron"	"B.Copper"	"C.There is not enough information"	"B.Copper"
"A tax investigation is launched that will assess work place bonuses. Who has received the biggest bonus out of Lucy and Linda?"	"A.Lucy"	"B.Linda"	"C.There is not enough information"	"B.Linda"	"The Foreman has decided to open up a new shaft. The Crew has assembled in the storage area in Shaft B. In which direction should they go to start the new mineshaft?"	"A.Up"	"B.Down"	"C.There is not enough information"	"C.There is not enough information"	"The mine produces___"	"A.Iron"	"B.Copper"	"C.There is not enough information"	"B.Copper"
"The Foreman has decided to open up a new shaft. The Crew has assembled in the storage area in Shaft B. In which direction should they go to start the new mineshaft?"	"A.Up"	"B.Down"	"C.There is not enough information"	"C.There is not enough information"	"A tax investigation is launched that will assess work place bonuses. Who has received the biggest bonus out of Lucy and Linda?"	"A.Lucy"	"B.Linda"	"C.There is not enough information"	"C.There is not enough information"	"The mine produces___"	"A.Iron"	"B.Copper"	"C.There is not enough information"	"B.Copper"
"The Foreman has decided to open up a new shaft. The Crew has assembled in the storage area in Shaft B. In which direction should they go to start the new mineshaft?"	"A.Up"	"B.Down"	"C.There is not enough information"	"B.Down"	"A tax investigation is launched that will assess work place bonuses. Who has received the biggest bonus out of Lucy and Linda?"	"A.Lucy"	"B.Linda"	"C.There is not enough information"	"B.Linda"	"The mine produces___"	"A.Iron"	"B.Copper"	"C.There is not enough information"	"B.Copper"
"The Foreman has decided to open up a new shaft. The Crew has assembled in the storage area in Shaft B. In which direction should they go to start the new mineshaft?"	"A.Up"	"B.Down"	"C.There is not enough information"	"C.There is not enough information"	"A tax investigation is launched that will assess work place bonuses. Who has received the biggest bonus out of Lucy and Linda?"	"A.Lucy"	"B.Linda"	"C.There is not enough information"	"B.Linda"	"The mine produces___"	"A.Iron"	"B.Copper"	"C.There is not enough information"	"B.Copper"
